article,headlines
"An uncertain future awaits Indian medical students fleeing Ukraine and those aspiring to study medicine in eastern Europe amid an ongoing conflict. Mint explores how Europe’s worst war since World War II may shape the choices that students make.
An uncertain future awaits Indian medical students fleeing Ukraine and those aspiring to study medicine in eastern Europe amid an ongoing conflict. Mint explores how Europe’s worst war since World War II may shape the choices that students make.
Log in to our website to save your bookmarks. It'll just take a moment.
Oops! Looks like you have exceeded the limit to bookmark the image. Remove some to bookmark this image.
Your session has expired, please login again.
You are now subscribed to our newsletters. In case you can’t find any email from our side, please check the spam folder.
This is a subscriber only feature Subscribe Now to get daily updates on WhatsApp","Education: Educational News, Admission Board Exams, Results, Education India"
"Home / Mutual-fund / Mf-news
Log in to our website to save your bookmarks. It'll just take a moment.
Oops! Looks like you have exceeded the limit to bookmark the image. Remove some to bookmark this image.
Your session has expired, please login again.
You are now subscribed to our newsletters. In case you can’t find any email from our side, please check the spam folder.
This is a subscriber only feature Subscribe Now to get daily updates on WhatsApp","Mutual Fund News: Latest Mutual Fund News, Headlines and Updates"
"Log in to our website to save your bookmarks. It'll just take a moment.
Oops! Looks like you have exceeded the limit to bookmark the image. Remove some to bookmark this image.
Your session has expired, please login again.
You are now subscribed to our newsletters. In case you can’t find any email from our side, please check the spam folder.
This is a subscriber only feature Subscribe Now to get daily updates on WhatsApp","Blogs on latest news from the World of policy, Business and Finance"
"Log in to our website to save your bookmarks. It'll just take a moment.
Oops! Looks like you have exceeded the limit to bookmark the image. Remove some to bookmark this image.
Your session has expired, please login again.
You are now subscribed to our newsletters. In case you can’t find any email from our side, please check the spam folder.
This is a subscriber only feature Subscribe Now to get daily updates on WhatsApp","People in Companies, Top Executive, Companies of the People, Top Company Leaders"
"- Income tax: A home loan borrower can claim tax benefit under Section 80 EEA, if it has a home loan sanctioned in between 1st April 2019 to 31st March 2022
Log in to our website to save your bookmarks. It'll just take a moment.
Oops! Looks like you have","Money: Money News, Wealth News, Personal Finance News, Money Tips, Loans & Money Management"
"Log in to our website to save your bookmarks. It'll just take a moment.
Oops! Looks like you have exceeded the limit to bookmark the image. Remove some to bookmark this image.
Your session has expired, please login again.
You are now subscribed to our newsletters. In case you can’t find any email from our side, please check the spam folder.
This is a subscriber only feature Subscribe Now to get daily updates on WhatsApp",Auto News: Latest Automobiles and Auto Industry News and Updates - mint
"Log in to our website to save your bookmarks. It'll just take a moment.
Oops! Looks like you have exceeded the limit to bookmark the image. Remove some to bookmark this image.
Your session has expired, please login again.
You are now subscribed to our newsletters. In case you can’t find any email from our side, please check the spam folder.
This is a subscriber only feature Subscribe Now to get daily updates on WhatsApp",Subscribe to our mint Newsletter
"Log in to our website to save your bookmarks. It'll just take a moment.
Oops! Looks like you have exceeded the limit to bookmark the image. Remove some to bookmark this image.
Your session has expired, please login again.
You are now subscribed to our newsletters. In case you can’t find any email from our side, please check the spam folder.
This is a subscriber only feature Subscribe Now to get daily updates on WhatsApp","Company News: Latest Company News, Indian Company News, Company News Headlines"
"Log in to our website to save your bookmarks. It'll just take a moment.
Oops! Looks like you have exceeded the limit to bookmark the image. Remove some to bookmark this image.
Your session has expired, please login again.
You are now subscribed to our newsletters. In case you can’t find any email from our side, please check the spam folder.
This is a subscriber only feature Subscribe Now to get daily updates on WhatsApp","Mint insight: Latest Mint insight News, Videos and Top Headlines"
"China’s export boom eases, raising pressure for stimulus3 min read . Updated: 07 Mar 2022, 06:07 PM IST
Policy makers face tough task of hitting ambitious growth target
Policy makers face tough task of hitting ambitious growth target
HONG KONG : China’s strong export momentum ebbed slightly in the first two months of this year as the pandemic-driven global boom in demand for the country’s goods fades, adding pressure on policy makers to prop up growth through further stimulus.
Exports in January and February rose 16.3% in dollar terms from a year earlier to $544.7 billion, according to data from the General Administration of Customs. While that beat expectations of a 15% gain among economists polled by The Wall Street Journal, it still marked a slowdown from the 20.9% year-over-year increase in December.
Imports grew 15.5% year over year to $428.7 billion, down from December’s 19.5% increase and in line with the 15.4% predicted by the survey of economists.
While China bought lower volumes of energy including coal, natural gas and crude oil, prices of those commodities have surged and could climb further as Russia’s invasion of Ukraine risks disrupting supplies.
Economists predict that China’s trade surplus, which soared to $676 billion last year and has propelled the country’s rapid rebound from the pandemic since 2020, will provide less support for its overall economy this year.
“It is nearly impossible for China to replicate such strong export momentum this year,"" said Shuang Ding, chief economist for China and North Asia at Standard Chartered Bank.
The country’s trade surplus will likely shrink to around $480 billion this year as export growth continues to taper off and prices of commodities such as grains and energy surge, Mr. Ding said.
Factors that economists say may drag on export growth include the gradual reopening of other countries, reducing their reliance on China’s supply chains, and an expected imminent rate increase by the U.S. Federal Reserve. That would erode the spending power of consumers in the West, whose appetite for items including furniture and consumer electronics has fueled Asia’s strong exports since the start of the pandemic.
After expanding by 25% last year to reach a record $28.5 trillion, global trade growth is expected to slow during the first quarter of 2022, in part as more countries run down their pandemic stimulus packages, according to forecasts by the United Nations Conference on Trade and Development.
The war in Ukraine could exacerbate supply-chain bottlenecks and weigh on global recovery. It could hit in particular economies in the European Union, which is China’s second-largest trade partner. Standard Chartered recently cut its forecast for the region’s economic growth to 3.1% in 2022, down from 4%.
Any slowdown in the EU would damp demand for global goods and negatively affect China’s export-market outlook, said Larry Hu, chief China economist at Macquarie Group, adding that he predicts year-over-year growth in exports to slow significantly from last year’s 30% to a “high single digit"" rate this year.
China’s weakening trade momentum adds pressure on Beijing to increase stimulus to boost domestic demand and hit this year’s growth target.
On Saturday the government set a growth target of around 5.5% for this year, an ambitious goal that paves the way for more aggressive fiscal and monetary support as the country continues to deal with headwinds in the domestic economy, including a property slump and sluggish recovery in consumption.
“With the Ukraine crisis imposing downside risk to global demand, China will have to rely more on domestic demand in 2022,"" Zhiwei Zhang, chief economist at Pinpoint Asset Management wrote in a note Monday. “Now the pressure is on the fiscal policy to deliver.""
Never miss a story! Stay connected and informed with Mint. Download our App Now!!
Log in to our website to save your bookmarks. It'll just take a moment.
Oops! Looks like you have exceeded the limit to bookmark the image. Remove some to bookmark this image.
Your session has expired, please login again.
You are now subscribed to our newsletters. In case you can’t find any email from our side, please check the spam folder.
This is a subscriber only feature Subscribe Now to get daily updates on WhatsApp","China’s export boom eases, raising pressure for stimulus"
Log in to our website to save your bookmarks. It'll just take a moment.,": Top and Latest News, Videos and Photos about"
"Log in to our website to save your bookmarks. It'll just take a moment.
Oops! Looks like you have exceeded the limit to bookmark the image. Remove some to bookmark this image.
Your session has expired, please login again.
You are now subscribed to our newsletters. In case you can’t find any email from our side, please check the spam folder.
This is a subscriber only feature Subscribe Now to get daily updates on WhatsApp",Mallya's Extradition
"Log in to our website to save your bookmarks. It'll just take a moment.
Oops! Looks like you have exceeded the limit to bookmark the image. Remove some to bookmark this image.
Your session has expired, please login again.
You are now subscribed to our newsletters. In case you can’t find any email from our side, please check the spam folder.
This is a subscriber only feature Subscribe Now to get daily updates on WhatsApp",List of India's top mutual funds in 2019
"Sitemap
Home
- About Us
- Contact Us
- Subscription
- Mint Code
- Mint Apps
- LM Brand Stories
- Mint Events
- WSJ
- Podcasts
- Brand Post
Companies
Opinion
Industry
- Banking
- Manufacturing
- Retail
- Telecom
- Infotech
- Human Resource
- Energy
- Infrastructure
- Agriculture
- Advertising
- Media",Sitemap - mint
"PM Narendra Modi lauds ITBP on its raising day24 Oct 2021
- Apart from guarding the border; the ITBP is also deployed for Anti Naxal operations and other internal security duties.
Log in to our website to save your bookmarks. It'll just take a moment.
Oops! Looks like you have exceeded the limit to bookmark the image. Remove some to bookmark this image.
Your session has expired, please login again.
You are now subscribed to our newsletters. In case you can’t find any email from our side, please check the spam folder.
This is a subscriber only feature Subscribe Now to get daily updates on WhatsApp","Latest News Photos, Top News Pictures, News Photos, Top News Slideshows, Photos Gallery News"
"Calculate tax on your earnings in a few simple steps
The week that was: Budget, Economic Survey and a record GST2 min read .04 Feb 2022
Fireballs juggled well; brickwork laid for growth4 min read .03 Feb 2022
Policies keeping economy strong for 7 yrs, Budget to bo ...2 min read .03 Feb 2022
Budget retains growth focus3 min read .03 Feb 2022
Who spent what in FY22: A study of ministry expenditures3 min read .03 Feb 2022
How the budget proposals will impact you5 min read .02 Feb 2022
How the budget is balanced2 min read .02 Feb 2022
Consistency and stability to revive, sustain growth4 min read .02 Feb 2022
Centre sets course on road to bolster infra spending4 min read .02 Feb 2022
A budget to fire up all growth engines: Kumar Birla3 min read .02 Feb 2022
Income Tax Calculator
Here is a quick guide to show you what’s cheaper and what’s dearer now.
Log in to our website to save your bookmarks. It'll just take a moment.
Oops! Looks like you have exceeded the limit to bookmark the image. Remove some to bookmark this image.
Your session has expired, please login again.
You are now subscribed to our newsletters. In case you can’t find any email from our side, please check the spam folder.
This is a subscriber only feature Subscribe Now to get daily updates on WhatsApp","Budget 2022 India: Union Budget Latest News, Budget Key Things to Watch out for, Income Tax Slab"
"Log in to our website to save your bookmarks. It'll just take a moment.
Oops! Looks like you have exceeded the limit to bookmark the image. Remove some to bookmark this image.
Your session has expired, please login again.
You are now subscribed to our newsletters. In case you can’t find any email from our side, please check the spam folder.
This is a subscriber only feature Subscribe Now to get daily updates on WhatsApp","Company Results: Company Quarterly Results, Financial Results, Half Yearly Results, Annual Results"
"Log in to our website to save your bookmarks. It'll just take a moment.
Oops! Looks like you have exceeded the limit to bookmark the image. Remove some to bookmark this image.
Your session has expired, please login again.
You are now subscribed to our newsletters. In case you can’t find any email from our side, please check the spam folder.
This is a subscriber only feature Subscribe Now to get daily updates on WhatsApp","Manufacturing News: Latest Manufacturing News, Manufacturing Sector, Manufacturing Industry News"
